Account Name,Company Domain Name,ZoomInfo Company ID,ezCater Vertical,Industry,ezCater Industry,Zoominfo Industry
ExxonMobil Corp,corporate.exxonmobil.com,43076614,Construction and Engineering,,Oil & Energy,Oil & Gas Exploration & Services
Flagship Pioneering,flagshippioneering.com,560093260,Finance,,Financial Services,Venture Capital & Private Equity
Baker Hughes Co,bakerhughes.com,9604546,Construction and Engineering,,Oil & Energy,Oil & Gas Exploration & Services
Dollar General Corp,dollargeneral.com,29330408,Retail and Wholesale,,Retail,"Department Stores, Shopping Centers & Superstores"
Xerox Corp,xerox.com,194101651,Info and Comms,,Information Technology and Services,Photographic & Optical Equipment
Nike Inc,nike.com,27722128,Retail and Wholesale,,Sporting Goods,Sporting Goods
Texas Instruments Inc,ti.com,50495653,Technology,,Computer Hardware,Electronics
The Northwestern Mutual Life Insurance Co,northwesternmutual.com,45159757,Finance,,Financial Services,Insurance
Mahindra & Mahindra Ltd,mahindra.com,69485568,Transportation,,Automotive,"Architecture, Engineering & Design"
QOL Medical LLC,qolmed.com,84099645,Pharma,,Pharmaceuticals,Pharmaceuticals
Reliance Industries Ltd,ril.com,121831773,Construction and Engineering,,Oil & Energy,Holding Companies & Conglomerates
Neurocrine Biosciences Inc,neurocrine.com,27328730,Pharma,,Pharmaceuticals,Pharmaceuticals
TechTrans International,tti-corp.com,68157567,Info and Comms,,Translation and Localization,Translation & Linguistic Services
"Gibson, Dunn & Crutcher LLP",gibsondunn.com,44222961,Business Services,,Legal Services,Law Firms & Legal Services
Liberty Mutual Group Inc,libertymutual.com,62637459,Finance,,Insurance,Insurance
Thermo Fisher Scientific Inc,thermofisher.com,38126010,Pharma,,Research,Research & Development
Suffolk Construction (formerly Portfolio Construction Inc),suffolkconstruction.com,1127929498,Construction and Engineering,,Construction,Commercial & Residential Construction
GlaxoSmithKline PLC,gsk.com,16859276,Pharma,,Pharmaceuticals,Pharmaceuticals
Lilly and Co,lilly.com,32199830,Pharma,Biotechnology,Biotechnology,Pharmaceuticals
Panasonic Corp,panasonic.com,39469842,Construction and Engineering,,Electrical/Electronic Manufacturing,Electronics
Adobe Inc,adobe.com,1804856,Technology,,Computer Software,"Multimedia, Games & Graphics Software"
Okta Inc,okta.com,353760348,Technology,,Computer Software,Security Software
Caesars Entertainment Inc,caesars.com,19419306,Rec and Arts,,Gambling & Casinos,Gambling & Gaming
SoftBank Group,group.softbank,253034667,Info and Comms,,Telecommunications,Holding Companies & Conglomerates
Philips,philips.com,40026959,Pharma,,Medical Devices,Appliances
Pfizer Inc,pfizer.com,30245334,Pharma,,Pharmaceuticals,Pharmaceuticals
Amentum Services Inc,amentum.com,513435138,Other Industries,,Defense & Space,"Architecture, Engineering & Design"
NewYork-Presbyterian Hospital,nyp.org,5066280,Health Social Services,,Hospital & Health Care,Medical & Surgical Hospitals
General Motors Co,gm.com,16220332,Transportation,,Automotive,Motor Vehicles
Dow Chemical Co,dow.com,42959322,Construction and Engineering,,Chemicals,Chemicals & Related Products
"Wiss, Janney, Elstner Associates",wje.com,42434889,Construction and Engineering,,Civil Engineering,"Architecture, Engineering & Design"
Avis Budget Group Inc,avisbudgetgroup.com,20880128,Other Industries,,"Leisure, Travel & Tourism",Car & Truck Rental
Mizuho Financial Group Inc,mizuhogroup.com,79087013,Finance,,Financial Services,Banking
TotalEnergies SE,totalenergies.com,551257307,Construction and Engineering,,Oil & Energy,Oil & Gas Exploration & Services
GE Vernova Inc,gevernova.com,566144528,Finance,,Financial Services,Industrial Machinery & Equipment
Icahn Enterprises LP,ielp.com,136217525,Finance,,Financial Services,Holding Companies & Conglomerates
Vertex Pharmaceuticals Inc,vrtx.com,126927075,Pharma,,Biotechnology,Pharmaceuticals
Weaver and Tidwell LLP,weaver.com,91635759,Business Services,,Accounting,Accounting Services
United Dairy Farmers,udfinc.com,81756792,Retail and Wholesale,,Food & Beverages,Food & Beverage
Carahsoft Technology Corp,carahsoft.com,21204753,Technology,,Computer Software,Consumer Electronics & Computers Retail
BeOne Medicines,beigene.com,355749443,Pharma,,Biotechnology,Pharmaceuticals
AdventHealth,adventhealth.com,463771706,Health Social Services,,Hospital & Health Care,Medical & Surgical Hospitals
Jacobs Solutions Inc,jacobs.com,144933765,Construction and Engineering,,Construction,"Architecture, Engineering & Design"
Costco Wholesale Corp,costco.com,345283492,Retail and Wholesale,,Retail,"Department Stores, Shopping Centers & Superstores"
AP Moller Group,apmoller.com,466696564,Finance,,Financial Services,Holding Companies & Conglomerates
Quest Diagnostics,questdiagnostics.com,99107151,Health Social Services,,Hospital & Health Care,Medical Laboratories & Imaging Centers
Citizens Financial Group Inc,citizensbank.com,25938795,Finance,,Financial Services,Banking
Honda Motor Co. Ltd,global.honda,9571076,Transportation,,Automotive,Motor Vehicles
Zions Bancorporation,zionsbancorporation.com,43319454,Finance,,Financial Services,Banking
Eqt Ab,eqtgroup.com,372057130,Finance,,Financial Services,Venture Capital & Private Equity
Brand Industrial Services Inc,brandsafway.com,431955483,Construction and Engineering,,Construction,Commercial & Residential Construction
AstraZeneca PLC,astrazeneca.com,9751686,Pharma,,Pharmaceuticals,Pharmaceuticals
Schneider Electric SE,se.com,90144983,Construction and Engineering,,Electrical/Electronic Manufacturing,Industrial Machinery & Equipment
Quanta Services Inc,quantaservices.com,31802379,Construction and Engineering,,Oil & Energy,Civil Engineering Construction
Castle Biosciences Inc,mypathmelanoma.com,351733121,Pharma,,Biotechnology,Research & Development
Surgery Partners Inc,surgerypartners.com,120619614,Health Social Services,,Hospital & Health Care,Medical & Surgical Hospitals
YMCA - USA,ymca.int,356325479,Health Social Services,Other,Nonprofit Organizations,Membership Organizations
Vanguard Group Inc,investor.vanguard.com,372557698,Finance,,Financial Services,Investment Banking
Infosys Ltd,infosys.com,58804259,Info and Comms,,Information Technology and Services,Custom Software & IT Services
Gategroup,gategroup.com,372141535,Transportation,,Airlines/Aviation,"Airlines, Airports & Air Services"
Techtronic Industries Co Ltd,ttigroup.com,345671238,Retail and Wholesale,,Consumer Goods,Appliances
SolarEdge Technologies Inc,solaredge.com,253330496,Construction and Engineering,,Environmental Services,Electronics
Riverbend Industries Ltd,riverbendindustries.com,548613961,Retail and Wholesale,,Consumer Goods,Holding Companies & Conglomerates
Myriad Genetics Inc,myriad.com,69289609,Pharma,,Biotechnology,Research & Development
Ross Stores Inc,ros.com,91406858,Retail and Wholesale,,Retail,"Department Stores, Shopping Centers & Superstores"
Parker Hannifin Corp,parker.com/us/en/divisions/lord-division,22401650,Construction and Engineering,,Mechanical or Industrial Engineering,"Plastic, Packaging & Containers"
Match Group,mtch.com,56100425,Technology,,Internet,Cleaning Services
Crowe LLP,crowe.com,451268369,Business Services,,Accounting,Accounting Services
DLR Group,dlrgroup.com,25659631,Construction and Engineering,,Architecture & Planning,"Architecture, Engineering & Design"
EMCOR Group Inc,emcorgroup.com,12812382,Construction and Engineering,,Construction,Commercial & Residential Construction
Tractor Supply Co,tractorsupply.com,38650584,Retail and Wholesale,,Retail,Home Improvement & Hardware Retail
Delta Air Lines Inc,delta.com,34393240,Transportation,Transportation,Airlines/Aviation,"Airlines, Airports & Air Services"
Illumina Inc,illumina.com,66045864,Pharma,,Biotechnology,Test & Measurement Equipment
Kyocera Corp,global.kyocera.com,45401679,Construction and Engineering,,Electrical/Electronic Manufacturing,Telecommunication Equipment
Platinum Equity Advisors LLC,platinumequity.com,76530343,Finance,,Financial Services,Venture Capital & Private Equity
Anywhere Real Estate Inc,anywhere.re,565138875,Construction and Engineering,,Real Estate,Real Estate
DP World Ltd,dpworld.com,346411973,Other Industries,,Maritime,Marine Shipping & Transportation
Bon Secours Mercy Health Inc,bsmhealth.org,509996145,Health Social Services,,Hospital & Health Care,Medical & Surgical Hospitals
Marathon Petroleum Corp,marathonpetroleum.com,343455900,Construction and Engineering,,Oil & Energy,Retail
Kion Group Ag,kiongroup.com,28640526,Construction and Engineering,,Machinery,Industrial Machinery & Equipment
Fresenius Medical Care AG,freseniusmedicalcare.com,565091577,Health Social Services,,Hospital & Health Care,Medical Specialists
Intercontinental Exchange Inc,ice.com,5177773,Finance,,Financial Services,Financial Software
Chevron Corp,chevron.com,7783252,Construction and Engineering,,Oil & Energy,Chemicals & Related Products
Kubota Corp,kubota.com,79187367,Construction and Engineering,,Machinery,Industrial Machinery & Equipment
Regeneron Pharmaceuticals Inc,regeneron.com,32489569,Pharma,,Biotechnology,Pharmaceuticals
Providence,providence.org,11849450,Health Social Services,,Hospital & Health Care,Medical & Surgical Hospitals
Amgen,amgen.com,7834830,Pharma,Healthcare,Biotechnology,Pharmaceuticals
Banco Santander SA,santander.com,142328255,Finance,,Financial Services,Banking
Atlas Holdings LLC,atlasholdingsllc.com,8916899,Finance,,Financial Services,Holding Companies & Conglomerates
CMA CGM Group,cma-cgm.com,23875270,Other Industries,,Maritime,Marine Shipping & Transportation
Legal Concierge Inc,legalci.com,35850314,Business Services,,Legal Services,Call Centers & Business Centers
Lowe's Companies,lowes.com,23167139,Retail and Wholesale,,Retail,Home Improvement & Hardware Retail
Best Buy,corporate.bestbuy.com,4506176,Technology,,Consumer Electronics,Consumer Electronics & Computers Retail
Broad Institute,broadinstitute.org,33836578,Other Industries,,Research,Research & Development
San Diego Padres,mlb.com/padres,29475174,Rec and Arts,,Sports,Sports Teams & Leagues
The Bridgespan Group Inc,bridgespan.org,10897453,Business Services,,Management Consulting,Management Consulting
Mary Kay Inc,marykay.com,23937179,Retail and Wholesale,,Cosmetics,"Cosmetics, Beauty Supply & Personal Care Products"
Pacific Gas And Electric Co (PG&E),pge.com,29425770,Construction and Engineering,,Utilities,"Electricity, Oil & Gas"
